DATE,2G JAKARTA RAYA,2G JAVA,2G KALISUMAPA,2G SUMATERA,2G NATIONAL,2G JAKARTA RAYA MW,2G JAVA MW,2G SUMATERA MW,2G NATIONAL MW,2G JAKARTA RAYA SP,2G JAVA SP,2G KALISUMAPA SP,2G SUMATERA SP,2G NATIONAL SP,2G Blended 75 Sites MW,2G Blended 75 Sites SP,2G Blended 75 Sites,4G JAKARTA RAYA,4G JAVA,4G KALISUMAPA,4G SUMATERA,4G NATIONAL,4G JAKARTA RAYA MW,4G JAVA MW,4G SUMATERA MW,4G NATIONAL MW,4G JAKARTA RAYA SP,4G JAVA SP,4G KALISUMAPA SP,4G SUMATERA SP,4G NATIONAL SP,4G Blended 75 Sites MW,4G Blended 75 Sites SP,4G Blended 75 Sites,Threshold
22-Jul-25,0.996352537,0.997007896,0.998617014,0.988858385,0.99509827,0.995962228,0.998195688,0.992472562,0.996297397,0.998023648,0.994983017,0.998617014,0.987267425,0.993120324,0.975719253,0.930229861,0.965016539,0.998569381,0.998540706,0.999117438,0.99762393,0.99840897,0.998435874,0.999038383,0.998966638,0.998653376,0.999301806,0.997367998,0.999117438,0.996881903,0.997854587,0.989228187,0.971767731,0.986516232,0.997
23-Jul-25,0.995693407,0.997525858,0.99713605,0.988566826,0.9948393,0.995401062,0.998285568,0.992385065,0.99598386,0.996944863,0.996230291,0.99713605,0.986890411,0.992952878,0.967459712,0.936763691,0.960237588,0.998270638,0.998723875,0.999222561,0.997480232,0.998283238,0.998141269,0.999176562,0.998594808,0.998473101,0.998981423,0.997657593,0.999222561,0.996864034,0.9978524,0.991666564,0.977159325,0.98940549,0.997
24-Jul-25,0.995351602,0.997003718,0.9974056,0.990714266,0.994988866,0.995240626,0.99740712,0.992415487,0.995622594,0.995826244,0.996315803,0.9974056,0.989952575,0.993936991,0.936006648,0.922419552,0.932859101,0.998203633,0.998532093,0.999291554,0.997556777,0.998210999,0.998144218,0.998857622,0.998593613,0.998385512,0.998529713,0.997766055,0.999291554,0.996986526,0.99781597,0.986877523,0.934696251,0.978553452,0.997
25-Jul-25,0.995692493,0.997866051,0.996671723,0.990093738,0.99528782,0.995425223,0.997764979,0.988871442,0.995485212,0.996836361,0.998038417,0.996671723,0.99066796,0.994954213,0.913370793,0.969768813,0.926742904,0.998074943,0.99865304,0.999116696,0.997580052,0.998177307,0.997952304,0.998815396,0.998220444,0.998218896,0.998748491,0.998272059,0.999116696,0.997228698,0.998083222,0.983041081,0.984674934,0.98330942,0.997
26-Jul-25,0.995272787,0.997724984,0.996304044,0.990199996,0.995013164,0.994553066,0.99793231,0.992352182,0.995369667,0.998357717,0.997371291,0.996304044,0.989256767,0.994425278,0.932001762,0.948881909,0.936028923,0.998020188,0.999056878,0.999297855,0.997933365,0.998329248,0.9978336,0.999133172,0.998650762,0.998272315,0.999045903,0.998877508,0.999297855,0.997538343,0.99845836,0.967526422,0.986225588,0.970422268,0.997
27-Jul-25,0.995656167,0.997350259,0.996121844,0.987616015,0.994538583,0.995151303,0.99719106,0.986074762,0.994866096,0.997820033,0.997621815,0.996121844,0.988292337,0.99399823,0.921871693,0.951153393,0.928945028,0.99821324,0.998738458,0.998636472,0.997135057,0.998179643,0.998073125,0.998989768,0.997464434,0.998274876,0.998983924,0.998148546,0.998636472,0.996955103,0.997963836,0.956620932,0.996422753,0.962787318,0.997
28-Jul-25,0.994694267,0.998020933,0.996344562,0.985522721,0.99388939,0.994070537,0.998445277,0.985670301,0.994569853,0.997366801,0.99729745,0.996344562,0.985457605,0.992764873,0.921838038,0.975682046,0.93519533,0.997993553,0.999102469,0.99913775,0.996384869,0.998048816,0.997821877,0.999380459,0.997789808,0.998255659,0.998937924,0.998449927,0.99913775,0.995613614,0.997579608,0.975593797,0.993167245,0.978534396,0.997
29-Jul-25,0.993759948,0.997087308,0.995795783,0.987270747,0.993530243,0.993031893,0.99743938,0.984235053,0.993528929,0.996879389,0.996487655,0.995795783,0.98857143,0.993532407,0.918367842,0.964480182,0.929689091,0.997955381,0.998817566,0.99831288,0.996771526,0.997994668,0.99781918,0.999312875,0.996764178,0.998142093,0.998704692,0.997656766,0.99831288,0.996775552,0.997660558,0.969696985,0.987380361,0.972616754,0.997
30-Jul-25,0.994044107,0.996158158,0.996931622,0.987812798,0.993512379,0.993334626,0.997119473,0.989294531,0.994091043,0.99708227,0.994520678,0.996931622,0.987163297,0.992559161,0.950904246,0.957552561,0.952536535,0.997306856,0.998380631,0.998719593,0.997621138,0.99770211,0.997040004,0.99911518,0.998495611,0.99775404,0.998773774,0.99665663,0.998719593,0.997139583,0.997584407,0.968525718,0.987741044,0.971574044,0.997
31-Jul-25,0.995084225,0.997004558,0.997291079,0.987737263,0.994239913,0.994218663,0.997495267,0.986338538,0.994433093,0.998789314,0.996168668,0.997291079,0.988350392,0.993921724,0.955768576,0.979768339,0.96170128,0.997849901,0.998419048,0.998853839,0.997622046,0.997996934,0.997557025,0.998531562,0.997210946,0.997798973,0.999460921,0.998155089,0.998853839,0.997848119,0.998445379,0.963970009,0.998930379,0.969752992,0.997
1-Aug-25,0.996455223,0.998105293,0.997471048,0.988904614,0.995443613,0.995895667,0.998184844,0.985988213,0.995602603,0.998852097,0.99796979,0.997471048,0.990183851,0.995181601,0.95554068,0.954739095,0.955344434,0.998383213,0.998823745,0.998735261,0.997680066,0.998391166,0.998212734,0.998740162,0.997861599,0.998328905,0.999320273,0.99901968,0.998735261,0.997580641,0.998532147,0.982411341,0.972412846,0.980771546,0.997
2-Aug-25,0.995934909,0.997820258,0.995689474,0.98862654,0.995078212,0.995260322,0.998420379,0.98713702,0.995414033,0.998828242,0.996797992,0.995689474,0.989341812,0.994505626,0.972805299,0.954407093,0.968288085,0.998260604,0.999039219,0.998770901,0.997781142,0.998406468,0.998006996,0.999164501,0.997713053,0.9983049,0.999654697,0.998745312,0.998770901,0.997818405,0.998636476,0.991627457,0.963178093,0.986949657,0.997
3-Aug-25,0.995946132,0.995582141,0.999200628,0.989082191,0.994610475,0.99530514,0.995415427,0.987251673,0.994529876,0.998694698,0.99586613,0.999200628,0.989954989,0.994747528,0.950083331,0.967869544,0.954450304,0.998179565,0.998087179,0.999457858,0.998344232,0.998220813,0.997936909,0.998023656,0.998649597,0.998025699,0.999514598,0.998235938,0.999457858,0.99817718,0.99866248,0.981452952,0.987490581,0.982450167,0.997
4-Aug-25,0.994614452,0.996629869,0.998624172,0.987059067,0.993897732,0.994207437,0.996175501,0.988171212,0.994204972,0.996358226,0.99740386,0.998624172,0.986530623,0.993376209,0.958101645,0.967212686,0.960322819,0.997939763,0.998364052,0.999052522,0.996850775,0.997897092,0.997852944,0.998105683,0.997549693,0.997896203,0.998416757,0.998968702,0.999052522,0.996466134,0.997899104,0.982727062,0.968390228,0.980384404,0.997
